student_id,answer
0,나무보다 금속이 열 전달을 더 잘하기 때문에
3,금속이 나무보다 열을 더 잘 흡수를 잘하기 때문이다.
12,금속이 나무보다 열전도성이 좋기 때문이다.
18,나무 국자보다 금속 국자가 열 전도성이 좋기 때문이다.
19,금속이 나무보다 열을 더 잘 이동시키기 때문
20,나무보다는 금속이 더 잘 뜨거워 지기 때문이다.
28,열이 나무 국자보다 금속 국자가 더욱 열이 잘 전달되기 때문이다.
39,열은 나무보다 금속에 더 잘 이동하기 때문이다.
62,나무국자보다 금속국자가 열 전도성이 더 높아서다.
984,금속은 금방 뜨거워진다 나무는 모르겠다
994,금속은 열이 통하기 때문
1002,나무는 열이 전달이 되지 않지만 금속은 열 전달이 잘 되기 때문이다
1018,금속은 나무가 가지고 있지 않은 성질을 가졌기 때문에
1056,나무는 부도체이여서 열이 잘 전달이 되지 않고 금속은 도체이기 때문에 열 전달이 잘되기 때문이다.
1058,열 전도성이 달라서 금속 국자의 열 전도성이 더 높아짐
3137,물이 뜨거우니까
3455,열이 통하지 않아서
3703,나무는 전도가 된다
3704,그냥 그러기 때문에
3705,위와 같습니다.
3710,모르겠습니다
3715,열이 이동해서
3749,모른다
3957,안배웠어요.